Judet,Activitate,Cifra Afaceri
ab,Lemnului,3749416915.0
ag,ConstructiiMasini,23044786532.0
ar,ConstructiiMasini,5736676356.0
b,Energetica,36169876202.0
bc,Alimentara,1159026222.0
bh,Textila,1693337343.0
bn,ConstructiiMasini,1469908553.0
br,ConstructiiMasini,431443037.0
bt,Textila,873943716.0
bv,ConstructiiMasini,7172876455.0
bz,Alimentara,2651124821.0
cj,Alimentara,1531609300.0
cl,Alimentara,415457701.0
cs,ConstructiiMasini,803891252.0
ct,ConstructiiMasini,1258949435.0
cv,Alimentara,723141812.0
db,Metalurgica,1270427260.0
dj,ConstructiiMasini,4509649952.0
gj,Energetica,2581270498.0
gl,Metalurgica,3962788104.0
gr,Alimentara,160922058.0
hd,Energetica,694202979.0
hr,Alimentara,1095844351.0
if,Alimentara,5532752733.0
il,Alimentara,1477750949.0
is,ConstructiiMasini,2115992074.0
mh,ChimicaFarmaceutica,225989143.0
mm,Mobila,1709405431.0
ms,Energetica,5525925600.0
nt,Textila,733555504.0
ot,Metalurgica,3458312014.0
ph,ConstructiiMasini,3421630739.0
sb,ConstructiiMasini,5048657664.0
sj,Metalurgica,2047741169.0
sm,Alimentara,2018617136.0
sv,Lemnului,2296398085.0
tl,ConstructiiMasini,693240347.0
tm,ConstructiiMasini,9624105469.0
tr,ChimicaFarmaceutica,393525366.0
vl,Alimentara,1280659770.0
vn,Textila,641439043.0
vs,Alimentara,622397964.0
