,z1,z2,z3,z4
Bulgaria,-0.04026439179885226,-0.11275586543039988,0.20077709842389266,-0.7725117816157494
Czech Republic,0.21357929499474237,-0.20111557324397555,0.19509092100010525,-0.35085897049054077
Denmark,0.44036553770508585,0.5798557992241768,-0.44460980533908157,-1.4041388018669478
Germany,0.6825402570999075,1.0866593292814475,-1.7115282085008574,0.9472203953181052
Estonia,-0.01617309457078421,-0.21738429525988334,0.017155479272384082,-0.9394759748150032
Ireland,-0.9993244411504995,-0.3215702331277074,-0.9377542609228106,-0.33827722277207545
Greece,-0.6575625485446427,0.47609586711940216,0.2158567639309358,-1.3754379647549972
Spain,0.10701616252902843,1.7908138367289528,0.34656875943757476,0.5434396340642064
France,-0.22816922454380847,-0.5476414629167748,-0.3010899128938977,4.799952522678895
Croatia,0.0041566900988623855,-0.18181552484334515,0.0623515964850117,-0.7398631597040369
Italy,-0.23771952751964526,-0.6047580552174665,-0.6568643496048739,2.788874997723921
Cyprus,-0.02572079193204591,-0.15961152636526935,0.06719414525458638,-0.9674247886166176
Latvia,-0.014843204519428098,-0.22931382989871138,0.017047847324704365,-0.8981874566189448
Lithuania,0.01222668265934628,-0.2533229105789893,0.02725916914094379,-0.7217566507977189
Luxembourg,-0.026484479601030623,-0.22475371270092284,0.012821303764279748,-0.9666862292395983
Hungary,0.49292272448841645,-0.16243781540723845,0.5578579216617835,0.045152839470023645
Malta,-0.018951275453096245,-0.21344121903941832,0.03783027920859364,-0.9704373020814091
Netherlands,0.5376302056648811,-0.14637348857731805,0.3004353973340343,1.1255971173739532
Austria,-0.032034361473245225,-0.1989462987363575,-0.3434507840501769,-0.6164657395620399
Poland,1.3616535332760793,-0.002797037809380096,0.9299232209181489,2.163463486066804
Portugal,0.17941344146222712,-0.15676671576012488,0.2799631312489606,-0.24869330691940267
Romania,-0.31897002774219396,0.18466939219820327,0.07477705276090217,-0.5479885201686349
Slovenia,0.014508179694552866,-0.2695859969024224,0.0687593285443676,-0.7350392751458713
Slovakia,0.07208515686043199,-0.21613916840369649,0.12066312254458618,-0.731254819038484
Finland,0.03183917129689102,-0.23775175365425627,-0.019066842666332753,-0.651586477942361
Sweden,-0.018644542659836942,-0.23771868570866964,-0.09145949590492256,-0.5909346575596827
United Kingdom,-1.5150751263213431,0.7779069450301448,0.973491121627158,2.1533181070142087
