,u1,u2,u3,u4
Bulgaria,-0.32029289630871116,-1.0907231685564929,1.081070750161575,-1.1964688508581989
Czech Republic,1.241992798241555,0.19147405983552546,0.255583289108022,-0.02362067978362598
Denmark,-0.020869493761072912,0.023530537615851346,-1.496705191470919,0.4788825976817316
Germany,1.0883467538524905,0.6273948879001374,-0.9846931752983985,-0.4184822136009598
Estonia,-0.20950558796982463,-1.1342564957774348,-0.09481346227662289,-0.7099206915136055
Ireland,-1.0529830940908624,0.20897111330361365,-0.04691821073216135,0.6138732302936882
Greece,-3.2110567527086333,1.7254695673424936,0.5421074294395795,-1.4731935184558533
Spain,0.6739225128084037,1.8368443093501705,-0.031200933966217478,0.6503368403204743
France,-1.2386503240144386,-0.5444126424820996,-0.6062826814885355,0.3431746007239536
Croatia,-0.10542266126122793,-0.8735763580839738,-0.01608879451555559,-1.4512959120231501
Italy,-0.17783111952622313,-0.1601577551739839,-1.3390811294838987,0.014807204788822142
Cyprus,-0.41868155522419426,1.539217141839083,1.4386284246779677,-0.47746614672570603
Latvia,0.41047251032927645,-0.7389570332690645,0.37016927142104633,-0.6457052167692494
Lithuania,1.1803747349745346,0.08002588894888035,0.381554786745277,-0.06948614018737297
Luxembourg,-0.9050953964441408,-0.427166814804926,-0.9378859590388896,3.35602931544037
Hungary,1.5573016256438046,0.32859233131328563,0.7000005275659311,0.03985154959020454
Malta,-0.19150802320811097,-0.5055928698847423,-0.28249066498789954,0.49101848491350913
Netherlands,0.4562506210450345,-0.5864140710531786,3.7091558407607943,1.9279993129333004
Austria,1.2791160043452434,1.1971291165511388,-1.422763205334603,0.1971573103088197
Poland,1.607429263361277,0.4804240819531674,0.018884264236896993,-0.518010808239665
Portugal,0.018717116660088098,0.45300712924969905,-0.09903880778911105,0.47997830637058014
Romania,0.010644856799448663,-0.18936299725761657,0.5136946113252878,-0.8978596273776202
Slovenia,-0.06202078411383511,-0.34522389034327927,-0.7793727637473095,0.1877103076814096
Slovakia,0.626284992464007,-0.6251068418764395,0.2731832175828777,-0.9645085087773559
Finland,-0.14162718041565223,-0.8247454578903782,-0.6473481855249881,-0.30854767582262216
Sweden,-0.5392960018554758,-0.7043273829300533,-1.1966007809551715,-0.20972733667085688
United Kingdom,-1.5560129196227606,0.05794361418061578,0.6972515335850262,0.583474265758978
